species,lat,long,ID,origin
Brown Rockfish,48.7323,-122.74732,BR0001,Wray 2022
Brown Rockfish,48.93407,-123.05245,BR0002,Wray 2022
Brown Rockfish,48.73882,-122.75015,BR0003,Wray 2022
Brown Rockfish,48.73678,-122.7509,BR0004,Wray 2022
Brown Rockfish,48.7323,-122.74732,BR0005,Wray 2022
Brown Rockfish,47.91364041,-122.4857838,BR0008,Wray 2022
Brown Rockfish,47.58876756,-122.4737125,BR0009,Wray 2022
Brown Rockfish,47.9576423,-122.6063193,BR0010,Wray 2022
Brown Rockfish,47.58876756,-122.4737125,BR0011,Wray 2022
Brown Rockfish,47.28954812,-122.5415916,BR0012,Wray 2022
Brown Rockfish,47.91282258,-122.4848719,BR0014,Wray 2022
Brown Rockfish,47.58876756,-122.4737125,BR0015,Wray 2022
Brown Rockfish,47.32317816,-122.4838515,BR0016,Wray 2022
Brown Rockfish,47.52787522,-122.4959246,BR0017,Wray 2022
Brown Rockfish,47.28622444,-122.5422275,BR0018,Wray 2022
Brown Rockfish,47.9576423,-122.6063193,BR0019,Wray 2022
Brown Rockfish,47.28671722,-122.5421305,BR0020,Wray 2022
Brown Rockfish,32.83,-117.25,BR0024,Wray 2022
Brown Rockfish,32.83,-117.25,BR0028,Wray 2022
Brown Rockfish,38.324356,-123.038591,BR0033,Wray 2022
Brown Rockfish,38.324356,-123.038591,BR0034,Wray 2022
Brown Rockfish,31.85,-116.63,BR0036,Wray 2022
Brown Rockfish,31.85,-116.63,BR0040,Wray 2022
Brown Rockfish,32.83,-117.25,BR0054,Wray 2022
Brown Rockfish,36.58,-122.08,BR0055,Wray 2022
Brown Rockfish,47.4374878,-122.3652344,BR20058,Wray 2022
Brown Rockfish,47.5766,-122.53196,BR20061,Wray 2022
Brown Rockfish,47.5766,-122.53196,BR20062,Wray 2022
Brown Rockfish,47.5766,-122.53196,BR20063,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20064,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20065,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20066,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20067,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20068,Wray 2022
Brown Rockfish,47.24643,-122.60132,BR20069,Wray 2022
Brown Rockfish,47.5766,-122.53196,BR20070,Wray 2022
Brown Rockfish,47.72388,-122.87548,BR50001,New (Liz)
Brown Rockfish,47.14626667,-122.66615,BR50002,New (Liz)
Brown Rockfish,47.72388,-122.87548,BR50003,New (Liz)
Brown Rockfish,47.4366,-123.1174,BR50004,New (Liz)
Brown Rockfish,47.4366,-123.1174,BR50004RE,New (Liz)
Brown Rockfish,47.5766,-122.53196,BR50005,New (Liz)
